t,qx,qy,qz,qw
2.02,0.1418232,-0.2127433,-0.9137551,0.3157185
2.04,0.1454113,-0.2236816,-0.9127566,0.3093502
2.06,0.1486067,-0.2347413,-0.9117084,0.3026555
2.08,0.1513880,-0.2459131,-0.9106109,0.2956285
2.10,0.1537341,-0.2571860,-0.9094646,0.2882626
2.12,0.1556243,-0.2685473,-0.9082699,0.2805516
2.14,0.1570383,-0.2799827,-0.9070273,0.2724887
2.16,0.1579566,-0.2914767,-0.9057369,0.2640675
2.18,0.1583604,-0.3030121,-0.9043988,0.2552812
2.20,0.1582316,-0.3145701,-0.9030126,0.2461232
2.22,0.1575535,-0.3261310,-0.9015775,0.2365870
2.24,0.1563102,-0.3376736,-0.9000923,0.2266661
2.26,0.1544870,-0.3491754,-0.8985551,0.2163540
2.28,0.1520708,-0.3606132,-0.8969631,0.2056447
2.30,0.1490494,-0.3719626,-0.8953129,0.1945324
2.32,0.1454124,-0.3831983,-0.8936001,0.1830113
2.34,0.1411508,-0.3942941,-0.8918192,0.1710763
2.36,0.1362572,-0.4052235,-0.8899635,0.1587226
2.38,0.1307256,-0.4159588,-0.8880252,0.1459460
2.40,0.1245517,-0.4264724,-0.8859953,0.1327426
2.42,0.1177331,-0.4367356,-0.8838631,0.1191094
2.44,0.1102687,-0.4467196,-0.8816168,0.1050440
2.46,0.1021594,-0.4563954,-0.8792431,0.0905448
2.48,0.0934079,-0.4657333,-0.8767271,0.0756110
2.50,0.0840184,-0.4747038,-0.8740526,0.0602432
2.52,0.0739973,-0.4832769,-0.8712019,0.0444424
2.54,0.0633527,-0.4914226,-0.8681557,0.0282115
2.56,0.0520947,-0.4991109,-0.8648936,0.0115542
2.58,-0.0402356,0.5063116,0.8613937,0.0055241
2.60,-0.0277894,0.5129949,0.8576329,0.0230166
2.62,-0.0147727,0.5191307,0.8535872,0.0409147
2.64,-0.0012040,0.5246896,0.8492313,0.0592080
2.66,0.0128956,0.5296423,0.8445394,0.0778843
2.68,0.0275028,0.5339602,0.8394849,0.0969293
2.70,0.0425917,0.5376151,0.8340408,0.1163265
2.72,0.0581341,0.5405800,0.8281800,0.1360573
2.74,0.0740988,0.5428284,0.8218755,0.1561006
2.76,0.0904525,0.5443355,0.8151003,0.1764331
2.78,0.1071589,0.5450777,0.8078285,0.1970288
2.80,0.1241792,0.5450332,0.8000347,0.2178595
2.82,0.1414719,0.5441821,0.7916950,0.2388945
2.84,0.1589933,0.5425067,0.7827868,0.2601007
2.86,0.1766969,0.5399918,0.7732898,0.2814427
2.88,0.1945342,0.5366251,0.7631853,0.3028829
2.90,0.2124546,0.5323973,0.7524578,0.3243816
2.92,0.2304054,0.5273023,0.7410941,0.3458976
2.94,0.2483326,0.5213378,0.7290844,0.3673878
2.96,0.2661806,0.5145050,0.7164222,0.3888080
2.98,0.2838932,0.5068094,0.7031046,0.4101131
3.00,0.3014133,0.4982604,0.6891327,0.4312571
3.02,0.3186838,0.4888719,0.6745111,0.4521943
3.04,0.3356478,0.4786618,0.6592489,0.4728788
3.06,0.3522489,0.4676527,0.6433591,0.4932655
3.08,0.3684322,0.4558712,0.6268586,0.5133103
3.10,0.3841441,0.4433484,0.6097685,0.5329707
3.12,0.3993332,0.4301192,0.5921138,0.5522062
3.14,0.4139504,0.4162225,0.5739230,0.5709784
3.16,0.4279496,0.4017007,0.5552279,0.5892518
3.18,0.4412878,0.3865995,0.5360637,0.6069939
3.20,0.4539255,0.3709675,0.5164683,0.6241756
3.22,0.4658272,0.3548557,0.4964819,0.6407715
3.24,0.4769613,0.3383175,0.4761468,0.6567598
3.26,0.4873002,0.3214076,0.4555067,0.6721230
3.28,0.4968209,0.3041821,0.4346068,0.6868473
3.30,0.5055047,0.2866979,0.4134925,0.7009231
3.32,0.5133369,0.2690122,0.3922101,0.7143451
3.34,0.5203076,0.2511819,0.3708052,0.7271115
3.36,0.5264106,0.2332636,0.3493231,0.7392248
3.38,0.5316440,0.2153129,0.3278083,0.7506908
3.40,0.5360096,0.1973841,0.3063040,0.7615189
3.42,0.5395129,0.1795301,0.2848518,0.7717216
3.44,0.5421627,0.1618019,0.2634916,0.7813142
3.46,0.5439709,0.1442483,0.2422614,0.7903148
3.48,0.5449522,0.1269162,0.2211968,0.7987436
3.50,0.5451239,0.1098497,0.2003315,0.8066228
3.52,0.5445055,0.0930906,0.1796963,0.8139761
3.54,0.5431187,0.0766783,0.1593202,0.8208286
3.56,0.5409867,0.0606493,0.1392292,0.8272063
3.58,0.5381342,0.0450375,0.1194472,0.8331360
3.60,0.5345874,0.0298744,0.0999955,0.8386446
3.62,0.5303732,0.0151887,0.0808932,0.8437593
3.64,0.5255197,0.0010066,0.0621572,0.8485072
3.66,0.5200554,-0.0126481,0.0438020,0.8529149
3.68,0.5140095,-0.0257540,0.0258402,0.8570083
3.70,0.5074115,-0.0382922,0.0082825,0.8608128
3.72,0.5002911,-0.0502459,-0.0088622,0.8643527
3.74,0.4926785,-0.0616005,-0.0255870,0.8676512
3.76,0.4846036,-0.0723435,-0.0418861,0.8707303
3.78,0.4760966,-0.0824645,-0.0577556,0.8736109
3.80,0.4671874,-0.0919550,-0.0731925,0.8763122
3.82,0.4579060,-0.1008085,-0.0881954,0.8788523
3.84,0.4482820,-0.1090203,-0.1027638,0.8812476
3.86,0.4383451,-0.1165875,-0.1168982,0.8835133
3.88,0.4281244,-0.1235090,-0.1306001,0.8856628
3.90,0.4176489,-0.1297854,-0.1438718,0.8877083
3.92,0.4069469,-0.1354190,-0.1567162,0.8896606
3.94,0.3960466,-0.1404139,-0.1691370,0.8915288
3.96,0.3849755,-0.1447757,-0.1811383,0.8933212
3.98,0.3737603,-0.1485116,-0.1927250,0.8950445
4.00,0.3624274,-0.1516304,-0.2039021,0.8967043
4.02,0.3510020,-0.1541423,-0.2146751,0.8983053
4.04,0.3395087,-0.1560590,-0.2250501,0.8998510
4.06,0.3279711,-0.1573937,-0.2350329,0.9013444
4.08,0.3164117,-0.1581608,-0.2446299,0.9027873
4.10,0.3048518,-0.1583760,-0.2538477,0.9041813
4.12,0.2933116,-0.1580558,-0.2626927,0.9055270
4.14,0.2818099,-0.1572182,-0.2711717,0.9068250
4.16,0.2703640,-0.1558819,-0.2792911,0.9080752
4.18,0.2589899,-0.1540662,-0.2870578,0.9092776
4.20,0.2477021,-0.1517913,-0.2944782,0.9104316
4.22,0.2365134,-0.1490779,-0.3015588,0.9115369
4.24,0.2254351,-0.1459471,-0.3083059,0.9125930
4.26,0.2144769,-0.1424201,-0.3147258,0.9135994
4.28,0.2036469,-0.1385184,-0.3208244,0.9145558
4.30,0.1929517,-0.1342635,-0.3266075,0.9154619
4.32,0.1823960,-0.1296767,-0.3320807,0.9163177
4.34,0.1719832,-0.1247791,-0.3372492,0.9171232
4.36,0.1617154,-0.1195917,-0.3421182,0.9178786
4.38,0.1515928,-0.1141348,-0.3466924,0.9185844
4.40,0.1416145,-0.1084283,-0.3509764,0.9192411
4.42,0.1317784,-0.1024917,-0.3549744,0.9198495
4.44,0.1220810,-0.0963438,-0.3586904,0.9204104
4.46,0.1125175,-0.0900028,-0.3621281,0.9209248
4.48,0.1030825,-0.0834862,-0.3652908,0.9213939
4.50,0.0937692,-0.0768109,-0.3681817,0.9218187
4.52,0.0845700,-0.0699933,-0.3708036,0.9222004
4.54,0.0754767,-0.0630489,-0.3731591,0.9225402
4.56,0.0664800,-0.0559927,-0.3752505,0.9228392
4.58,0.0575704,-0.0488392,-0.3770799,0.9230987
4.60,0.0487375,-0.0416023,-0.3786490,0.9233195
4.62,0.0399705,-0.0342955,-0.3799593,0.9235026
4.64,0.0312582,-0.0269318,-0.3810121,0.9236489
4.66,0.0225892,-0.0195240,-0.3818084,0.9237591
4.68,0.0139518,-0.0120843,-0.3823490,0.9238336
4.70,0.0053338,-0.0046251,-0.3826344,0.9238729
4.72,-0.0032766,0.0028416,-0.3826649,0.9238770
4.74,-0.0118916,0.0103036,-0.3824404,0.9238462
4.76,-0.0205233,0.0177491,-0.3819608,0.9237801
4.78,-0.0291837,0.0251657,-0.3812256,0.9236785
4.80,-0.0378846,0.0325410,-0.3802342,0.9235409
4.82,-0.0466375,0.0398626,-0.3789855,0.9233666
4.84,-0.0554536,0.0471174,-0.3774784,0.9231549
4.86,-0.0643440,0.0542920,-0.3757113,0.9229048
4.88,-0.0733189,0.0613728,-0.3736827,0.9226153
4.90,-0.0823883,0.0683452,-0.3713905,0.9222853
4.92,-0.0915614,0.0751946,-0.3688324,0.9219137
4.94,-0.1008468,0.0819053,-0.3660060,0.9214994
4.96,-0.1102521,0.0884613,-0.3629085,0.9210410
4.98,-0.1197843,0.0948458,-0.3595368,0.9205375
5.00,-0.1294493,0.1010415,-0.3558877,0.9199878
5.02,-0.1392519,0.1070303,-0.3519574,0.9193908
5.04,-0.1491959,0.1127935,-0.3477421,0.9187457
5.06,-0.1592839,0.1183118,-0.3432376,0.9180517
5.08,-0.1695171,0.1235655,-0.3384394,0.9173082
5.10,-0.1798953,0.1285341,-0.3333429,0.9165147
5.12,-0.1904171,0.1331971,-0.3279430,0.9156709
5.14,-0.2010794,0.1375332,-0.3222344,0.9147768
5.16,-0.2118777,0.1415213,-0.3162117,0.9138324
5.18,-0.2228059,0.1451397,-0.3098692,0.9128379
5.20,-0.2338563,0.1483672,-0.3032008,0.9117937
5.22,-0.2450196,0.1511822,-0.2962004,0.9107001
5.24,-0.2562849,0.1535637,-0.2888618,0.9095577
5.26,-0.2676396,0.1554909,-0.2811784,0.9083668
5.28,-0.2790698,0.1569436,-0.2731438,0.9071280
5.30,-0.2905597,0.1579021,-0.2647514,0.9058414
5.32,-0.3020924,0.1583475,-0.2559944,0.9045071
5.34,-0.3136493,0.1582618,-0.2468663,0.9031248
5.36,-0.3252108,0.1576280,-0.2373604,0.9016936
5.38,-0.3367556,0.1564303,-0.2274703,0.9002125
5.40,-0.3482615,0.1546538,-0.2171897,0.8986794
5.42,-0.3597053,0.1522852,-0.2065122,0.8970920
5.44,-0.3710627,0.1493124,-0.1954322,0.8954466
5.46,-0.3823083,0.1457248,-0.1839438,0.8937389
5.48,-0.3934163,0.1415133,-0.1720420,0.8919637
5.50,-0.4043599,0.1366702,-0.1597219,0.8901142
5.52,-0.4151117,0.1311896,-0.1469790,0.8881828
5.54,-0.4256439,0.1250670,-0.1338097,0.8861605
5.56,-0.4359281,0.1182997,-0.1202108,0.8840369
5.58,-0.4459355,0.1108868,-0.1061799,0.8818002
5.60,-0.4556368,0.1028288,-0.0917153,0.8794371
5.62,-0.4650028,0.0941282,-0.0768162,0.8769330
5.64,-0.4740036,0.0847893,-0.0614828,0.8742718
5.66,-0.4826095,0.0748183,-0.0457165,0.8714358
5.68,-0.4907903,0.0642230,-0.0295197,0.8684059
5.70,-0.4985161,0.0530135,-0.0128962,0.8651618
5.72,-0.5057568,0.0412017,0.0041489,0.8616817
5.74,-0.5124823,0.0288017,0.0216086,0.8579425
5.76,-0.5186628,0.0158297,0.0394748,0.8539204
5.78,-0.5242687,0.0023043,0.0577370,0.8495901
5.80,-0.5292708,-0.0117539,0.0763833,0.8449259
5.82,-0.5336403,-0.0263216,0.0953996,0.8399013
5.84,-0.5373490,-0.0413731,0.1147694,0.8344892
5.86,-0.5403698,-0.0568805,0.1344744,0.8286626
5.88,-0.5426762,-0.0728128,0.1544936,0.8223944
5.90,-0.5442432,-0.0891368,0.1748040,0.8156577
5.92,-0.5450472,-0.1058165,0.1953797,0.8084264
5.94,-0.5450661,-0.1228132,0.2161928,0.8006750
5.96,-0.5442799,-0.1400859,0.2372127,0.7923796
5.98,-0.5426707,-0.1575907,0.2584066,0.7835176
6.00,-0.5402232,-0.1752816,0.2797391,0.7740681
6.02,-0.5369247,-0.1931101,0.3011729,0.7640126
6.04,-0.5327657,-0.2110257,0.3226684,0.7533352
6.06,-0.5277399,-0.2289761,0.3441846,0.7420226
6.08,-0.5218446,-0.2469071,0.3656785,0.7300646
6.10,-0.5150808,-0.2647636,0.3871059,0.7174545
6.12,-0.5074536,-0.2824890,0.4084218,0.7041892
6.14,-0.4989722,-0.3000266,0.4295804,0.6902692
6.16,-0.4896499,-0.3173190,0.4505357,0.6756991
6.18,-0.4795045,-0.3343094,0.4712420,0.6604875
6.20,-0.4685580,-0.3509415,0.4916540,0.6446470
6.22,-0.4568370,-0.3671601,0.5117276,0.6281945
6.24,-0.4443720,-0.3829114,0.5314202,0.6111505
6.26,-0.4311977,-0.3981440,0.5506909,0.5935398
6.28,-0.4173527,-0.4128085,0.5695013,0.5753905
